,Player,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Home Team Goals,Away Team Goals
387,Christina Putigna,175,44,Snapshot,On Net,f,f,0,0
423,Jonna Curtis,180,39,Snapshot,On Net,f,f,0,1
879,Winny Brodt-Brown,188,55,Snapshot,On Net,t,f,1,1
2382,Kayla Friesen,144,15,Snapshot,On Net,t,f,0,0
3052,Kristin Lewicki,168,28,Wristshot,On Net,t,f,0,1
3676,Leila Kilduff,140,71,Wristshot,On Net,t,f,0,0
4185,Leila Kilduff,148,40,Snapshot,On Net,t,f,1,0
5353,Emily Janiga,121,25,Wristshot,On Net,f,f,2,0
5658,Jillian Dempsey,196,54,Snapshot,On Net,f,f,0,0
5731,Jordan Juron,183,41,Snapshot,On Net,f,f,1,0
5927,McKenna Brand,158,25,Wristshot,On Net,t,f,1,1
6097,Jillian Dempsey,184,46,Snapshot,On Net,f,t,2,1
6119,Samantha Davis,184,47,Snapshot,On Net,f,f,3,1
6520,Taylor Wenczkowski,181,38,Wristshot,On Net,f,f,4,1
7339,Mallory Rushton,186,54,Snapshot,On Net,f,f,0,0
7345,Cailey Hutchison,152,34,Wristshot,On Net,t,f,0,1
7420,Amanda Conway,179,42,Snapshot,On Net,f,t,0,2
7625,Katelynn Russ,179,38,Deflection,On Net,f,f,1,2
7951,Rebecca Russo,182,40,Deflection,On Net,f,f,2,2
8258,Kaycie Anderson,187,40,Snapshot,On Net,f,f,2,3
8589,Theresa Knutson,169,33,Snapshot,On Net,f,f,3,3
9265,Lindsay Eastwood,179,31,Snapshot,On Net,f,t,0,0
9327,Mikyla Grant-Mentis,163,45,Wristshot,On Net,t,f,1,0
9438,Breanne Wilson-Bennett,170,45,Snapshot,On Net,t,t,2,0
9542,Sydney Baldwin,133,16,Wristshot,On Net,t,f,3,0
9845,Breanne Wilson-Bennett,180,41,Deflection,On Net,f,f,3,1
10162,Taylor Woods,183,46,Fan,On Net,f,f,4,1
10174,Haylea Schmid,172,46,Snapshot,On Net,t,f,5,1
10204,Haley Mack,165,32,Snapshot,On Net,f,f,5,2
10582,Audra Richards,185,38,Wristshot,On Net,f,f,5,3
10620,Meaghan Pezon,185,26,Wristshot,On Net,f,f,5,4
11272,Christina Putigna,177,59,Wristshot,On Net,f,f,0,0
12180,Brooke Boquist,184,37,Snapshot,On Net,f,f,0,1
12222,Mikyla Grant-Mentis,181,54,Snapshot,On Net,f,f,1,1
14453,Haley Mack,184,50,Wristshot,On Net,f,f,0,0
15075,McKenna Brand,162,46,Deflection,On Net,t,t,0,0
15826,Tori Howran,129,16,Slapshot,On Net,t,f,0,1
15905,Katelynn Russ,184,46,Snapshot,On Net,f,t,1,1
15986,Alyssa Wohlfeiler,163,37,Wristshot,On Net,t,f,2,1
16086,Emma Vlasic,177,40,Snapshot,On Net,f,t,3,1
16409,Brooke Boquist,189,37,Snapshot,On Net,f,f,0,0
16486,Autumn MacDougall,187,45,Snapshot,On Net,f,f,0,1
16868,Autumn MacDougall,180,44,Snapshot,On Net,f,f,1,1
17288,Taylor Woods,185,48,Snapshot,On Net,f,f,2,1
17432,Megan Quinn,164,72,Snapshot,On Net,f,f,2,2
18050,Emily Fluke,189,47,Wrap Around,On Net,t,f,2,3
18329,Lauren Kelly,171,60,Snapshot,On Net,f,f,0,0
18800,Autumn MacDougall,187,41,Snapshot,On Net,f,f,0,1
19730,Lisa Chesson,171,45,Snapshot,On Net,t,f,1,1
20068,Mikyla Grant-Mentis,183,65,Wristshot,On Net,f,f,0,0
20498,Nina Rodgers,186,35,Snapshot,On Net,f,t,1,0
20652,Taylor Woods,168,47,Snapshot,On Net,f,f,1,1
21056,Audra Richards,185,70,Snapshot,On Net,t,f,2,1
21283,Sarah-Eve Coutu Godbout,188,46,Snapshot,On Net,f,f,2,2
21376,Nina Rodgers,175,25,Snapshot,On Net,f,f,3,2
21582,Mikyla Grant-Mentis,181,59,Wristshot,On Net,f,f,3,3
22212,Mallory Souliotis,171,30,Snapshot,On Net,f,t,0,0
22739,McKenna Brand,185,36,Snapshot,On Net,f,f,1,0
22796,Samantha Davis,145,51,Snapshot,On Net,t,f,2,0
22870,Mallory Souliotis,134,24,Snapshot,On Net,t,f,3,0
22958,Lauren Kelly,130,33,Slapshot,On Net,t,f,4,0
22985,Meghara McManus,181,38,Snapshot,On Net,t,f,5,0
24301,Amy Curlew,185,38,Deflection,On Net,f,f,0,0
24407,Taylor Woods,139,36,Wristshot,On Net,t,f,1,0
24569,Mackenzie MacNeil,187,39,Wrap Around,On Net,f,f,2,0
24650,Mackenzie MacNeil,171,27,Snapshot,On Net,t,f,3,0
24871,Taytum Clairmont,182,42,Deflection,On Net,f,f,4,0
24886,Mikyla Grant-Mentis,185,46,Wristshot,On Net,f,f,5,0
25475,Samantha Davis,179,35,Slapshot,On Net,f,f,0,0
25517,Jillian Dempsey,180,61,Wristshot,On Net,f,f,0,1
25632,Samantha Davis,168,56,Snapshot,On Net,f,t,0,2
26032,Kristin Lewicki,171,55,Snapshot,On Net,f,f,0,3
26263,Meaghan Rickard,167,55,Snapshot,On Net,t,f,1,3
26456,Lexie Laing,183,37,Wristshot,On Net,f,f,1,4
26611,Mallory Souliotis,145,37,Wristshot,On Net,t,f,1,5
26693,Meaghan Rickard,188,44,Snapshot,On Net,f,f,1,6
